date,ticker,field,value
2013-06-14,MEXBOL Index,PX_LAST,39269.3
2013-06-14,MEXBOL Index,PX_LOW,39266.77
2013-06-14,MEXBOL Index,PX_HIGH,39609.84
2013-06-14,MEXBOL Index,PX_VOLUME,202613400.0
2013-06-17,MEXBOL Index,PX_OPEN,39264.43
2013-06-17,MEXBOL Index,PX_LAST,39549.46
2013-06-17,MEXBOL Index,PX_LOW,39252.19
2013-06-17,MEXBOL Index,PX_HIGH,39767.39
2013-06-17,MEXBOL Index,PX_VOLUME,158669100.0
2013-06-18,MEXBOL Index,PX_OPEN,39559.66
2013-06-18,MEXBOL Index,PX_LAST,39459.98
2013-06-18,MEXBOL Index,PX_LOW,39454.28
2013-06-18,MEXBOL Index,PX_HIGH,39861.52
2013-06-18,MEXBOL Index,PX_VOLUME,234194700.0
2013-06-19,MEXBOL Index,PX_OPEN,39460.01
2013-06-19,MEXBOL Index,PX_LAST,39044.95
2013-06-19,MEXBOL Index,PX_LOW,38801.19
2013-06-19,MEXBOL Index,PX_HIGH,39603.11
2013-06-19,MEXBOL Index,PX_VOLUME,287562000.0
2013-06-20,MEXBOL Index,PX_OPEN,39035.28
2013-06-20,MEXBOL Index,PX_LAST,37517.23
2013-06-20,MEXBOL Index,PX_LOW,37380.79
2013-06-20,MEXBOL Index,PX_HIGH,39035.28
2013-06-20,MEXBOL Index,PX_VOLUME,361790600.0
2013-06-21,MEXBOL Index,PX_OPEN,37518.26
2013-06-21,MEXBOL Index,PX_LAST,38036.46
2013-06-21,MEXBOL Index,PX_LOW,37256.22
2013-06-21,MEXBOL Index,PX_HIGH,38159.31
2013-06-21,MEXBOL Index,PX_VOLUME,780832700.0
2013-06-24,MEXBOL Index,PX_OPEN,38037.84
2013-06-24,MEXBOL Index,PX_LAST,37517.36
2013-06-24,MEXBOL Index,PX_LOW,37034.3
2013-06-24,MEXBOL Index,PX_HIGH,38037.84
2013-06-24,MEXBOL Index,PX_VOLUME,259374900.0
2013-06-25,MEXBOL Index,PX_OPEN,37520.84
2013-06-25,MEXBOL Index,PX_LAST,37901.77
2013-06-25,MEXBOL Index,PX_LOW,37485.64
2013-06-25,MEXBOL Index,PX_HIGH,38071.76
2013-06-25,MEXBOL Index,PX_VOLUME,333195200.0
2013-06-26,MEXBOL Index,PX_OPEN,37919.5
2013-06-26,MEXBOL Index,PX_LAST,38805.27
2013-06-26,MEXBOL Index,PX_LOW,37913.4
2013-06-26,MEXBOL Index,PX_HIGH,39002.74
2013-06-26,MEXBOL Index,PX_VOLUME,378061800.0
2013-06-27,MEXBOL Index,PX_OPEN,38808.61
2013-06-27,MEXBOL Index,PX_LAST,39650.75
2013-06-27,MEXBOL Index,PX_LOW,38808.61
2013-06-27,MEXBOL Index,PX_HIGH,39789.07
2013-06-27,MEXBOL Index,PX_VOLUME,391080900.0
2013-06-28,MEXBOL Index,PX_OPEN,39651.27
2013-06-28,MEXBOL Index,PX_LAST,40623.3
2013-06-28,MEXBOL Index,PX_LOW,39614.19
2013-06-28,MEXBOL Index,PX_HIGH,40624.02
2013-06-28,MEXBOL Index,PX_VOLUME,512340100.0
2013-07-01,MEXBOL Index,PX_OPEN,40624.34
2013-07-01,MEXBOL Index,PX_LAST,41176.8
2013-07-01,MEXBOL Index,PX_LOW,40401.08
2013-07-01,MEXBOL Index,PX_HIGH,41185.24
2013-07-01,MEXBOL Index,PX_VOLUME,257973100.0
